package,file,line,pattern,warning_class,severity,exploitability,exploit_score,exploit_reasons,context_type,occurrences,detail
sqlalchemy,sqlalchemy-2.0.49/lib/sqlalchemy/dialects/sqlite/base.py,2831,"
            (?<![A-Za-z0-9_])   # Negative lookbehind: ensure CHECK is not
                                # part of an identifier (e.g., table name
                                # like ""tableCHECK"")

            (?:                 # Optional CONSTRAINT clause
                CONSTRAINT\s+
                (               # Group 1: Constraint name (quoted or unquoted)
                    ""(?:[^""]|"""")+""        # Double-quoted: ""name"" or ""na""""me""
                    |'(?:[^']|'')+'  # Single-quoted: 'name' or 'na''me'
                    |\[(?:[^\]]|\]\])+\]  # Bracket-quoted: [name] or [na]]me]
                    |`(?:[^`]|``)+`       # Backtick-quoted: `name` or `na``me`
                    |\S+                  # Unquoted: simple_name
                )
                \s+
            )?

            CHECK\s*\(          # CHECK keyword followed by opening paren
            ",OVERLAPPING_ALTERNATION,MEDIUM,POSSIBLE,3,ALL_CAPS constant name (likely hardcoded pattern),runtime,4,"Branches '[^""]' and '""""' share overlapping first-character sets inside quantifier '+'. The same input may be matched in multiple ways across iterations, potentially causing catastrophic backtracking."
sqlalchemy,sqlalchemy-2.0.49/lib/sqlalchemy/dialects/sqlite/base.py,2420,"create table .*?\((.*)\)(?:\s*,?\s*(?:WITHOUT\s+ROWID|STRICT))*$",NESTED_QUANTIFIER,HIGH,POSSIBLE,5,no user-input signals found,runtime,3,Repeating quantifier '*' on '[\s]' is nested inside the outer repeating quantifier.  On a failing match the engine must explore an exponential number of ways to partition the input across the two quan
sqlalchemy,sqlalchemy-2.0.49/lib/sqlalchemy/util/langhelpers.py,1908,"sqlalchemy/([a-z_]+/){0,2}[a-z_]+\.py",NESTED_QUANTIFIER,HIGH,POSSIBLE,5,no user-input signals found,runtime,1,Repeating quantifier '+' on '[a-z_]' is nested inside the outer repeating quantifier.  On a failing match the engine must explore an exponential number of ways to partition the input across the two qu
pydantic,pydantic-2.12.5/pydantic/json_schema.py,2219,(?:[^.[\]]+\.)+((?:[^.[\]]+)),NESTED_QUANTIFIER,HIGH,POSSIBLE,5,no user-input signals found,runtime,1,Repeating quantifier '+' on '[^.[\]]' is nested inside the outer repeating quantifier.  On a failing match the engine must explore an exponential number of ways to partition the input across the two q
pytest,pytest-9.0.2/src/_pytest/mark/expression.py,113,(:?\w|:|\+|-|\.|\[|\]|\\|/)+,LIKELY_TYPO,MEDIUM,POSSIBLE,5,no user-input signals found,runtime,1,"Found '(:?' - this looks like a typo for '(?:' (non-capturing group). '(:?' creates a capturing group that optionally matches a literal colon, which is rarely the intended behaviour. If you meant a no"
pytest,pytest-9.0.2/src/_pytest/mark/expression.py,113,(:?\w|:|\+|-|\.|\[|\]|\\|/)+,NULLABLE_BRANCH_IN_QUANTIFIER,HIGH,POSSIBLE,5,no user-input signals found,runtime,1,"Alternative(s) [':?[\\w]'] inside quantifier '+' can match the empty string.  The group can iterate without consuming input, enabling exponential backtracking on a failing match."
pytest,pytest-9.0.2/src/_pytest/mark/expression.py,113,(:?\w|:|\+|-|\.|\[|\]|\\|/)+,OVERLAPPING_ALTERNATION,MEDIUM,POSSIBLE,5,no user-input signals found,runtime,8,"Branches ':?[\w]' and ':' share overlapping first-character sets inside quantifier '+'. The same input may be matched in multiple ways across iterations, potentially causing catastrophic backtracking."
numpy,numpy-2.4.4/numpy/distutils/fcompiler/ibm.py,42,xlfcmp:(?P<version>\d+([.]\d+)+),NESTED_QUANTIFIER,HIGH,POSSIBLE,5,no user-input signals found,runtime,1,Repeating quantifier '+' on '[\d]' is nested inside the outer repeating quantifier.  On a failing match the engine must explore an exponential number of ways to partition the input across the two quan
numpy,numpy-2.4.4/numpy/f2py/crackfortran.py,934,"\s*(?P<name>\b[\w$]+\b)\s*(@\(@\s*(?P<args>[\w\s,]*)\s*@\)@|)\s*((result(\s*@\(@\s*(?P<result>\b[\w$]+\b)\s*@\)@|))|(bind\s*@\(@\s*(?P<bind>(?:(?!@\)@).)*)\s*@\)@))*\s*\Z",NESTED_QUANTIFIER,HIGH,POSSIBLE,5,no user-input signals found,runtime,8,Repeating quantifier '*' on '[\s]' is nested inside the outer repeating quantifier.  On a failing match the engine must explore an exponential number of ways to partition the input across the two quan
numpy,numpy-2.4.4/numpy/linalg/lapack_lite/clapack_scrub.py,278,^\s+extern.*? dlamch_.*?;$(?m),PARSE_ERROR,LOW,POSSIBLE,5,no user-input signals found,runtime,1,Pattern failed to parse: global flags not at the start of the expression at position 26
